"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","135","118","27","12","118","213","251","151","179","245","12","191","26","77","0","163","192","92","114","209","223","99","85","12","177","148","219","216","153","118","28","205","122","189","240","118","21","163","155","60","139","29","70","24","164","44","14","82","7","134","141","153","78","66","228","126","127","54","43","219","180","93","3","19","161","41","65","77","115","0.0","0.0","0.0","0.0"
"1","135","118","27","12","118","213","251","250","179","245","12","191","26","77","0","163","192","92","114","209","158","99","85","12","177","148","219","216","153","118","28","205","83","189","240","118","21","163","155","60","139","29","70","24","164","44","14","82","7","134","141","153","78","66","228","126","127","54","43","219","180","93","3","19","161","41","65","77","115","21.0","0.0","0.0","63.0"
"2","135","118","27","137","118","213","251","151","179","245","12","191","26","77","0","163","192","92","114","209","223","99","85","12","177","148","219","216","153","118","28","205","122","189","240","118","21","163","155","60","139","29","70","24","164","44","14","82","7","134","141","153","78","66","228","126","127","54","43","219","180","93","3","19","161","41","65","77","115","57.5","124.0","0.0","48.5"
"3","135","118","27","12","118","213","251","151","179","245","12","191","26","77","0","163","192","92","114","209","223","99","85","12","177","148","219","216","153","118","28","205","122","189","240","118","21","163","155","60","139","29","70","24","164","44","14","82","7","134","141","153","78","66","228","126","127","54","43","219","180","93","3","19","161","41","65","77","115","33.5","0.0","100.5","0.0"
"4","135","118","27","12","118","213","251","151","179","245","12","191","26","77","0","163","192","92","114","209","223","99","85","12","177","148","219","216","153","118","28","205","122","59","240","118","21","163","155","60","139","29","70","24","164","44","14","82","7","134","141","153","78","66","228","126","127","54","43","219","180","93","3","19","161","41","65","77","115","81.08333333333333","243.25","0.0","0.0"
"5","176","168","170","22","85","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","1","168","126","189","147","177","56","251","1","248","36.666666666666664","31.5","27.0","51.5"
"6","176","168","170","22","160","139","95","246","15","174","71","33","20","46","112","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","1","168","126","189","147","177","56","251","1","248","35.583333333333336","0.0","55.75","51.0"
"7","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","38","77","172","218","62","23","161","240","235","236","1","168","126","189","147","177","56","251","1","248","148.66666666666666","138.25","101.5","206.25"
"8","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","9","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","1","168","126","189","147","177","56","251","1","248","47.0","9.0","30.0","102.0"
"9","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","146","236","1","168","126","121","147","177","56","251","1","248","96.58333333333333","4.75","214.75","70.25"
