"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","51","148","162","221","97","195","240","177","210","117","136","117","177","116","102","125","241","0","72","189","214","39","54","20","218","66","154","142","242","135","246","162","48","188","72","253","106","175","134","133","84","102","27","15","40","13","202","176","5","134","152","24.916666666666668","74.75","0.0","0.0"
"1","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","51","148","162","221","97","195","240","177","210","117","136","117","177","116","102","125","241","0","72","189","19","39","54","20","218","66","234","142","241","135","246","162","48","188","72","253","106","175","134","133","84","102","27","15","40","13","202","176","2","134","152","0.0","0.0","0.0","0.0"
"2","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","51","148","162","221","97","195","240","177","210","117","127","117","177","116","102","125","241","0","72","189","19","39","54","20","218","66","154","142","242","135","246","162","48","188","72","253","106","175","134","133","84","102","27","15","40","13","202","176","5","134","152","6.25","0.0","0.0","18.75"
"3","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","51","148","162","221","97","195","240","177","210","117","136","117","177","116","102","125","241","0","72","236","19","39","54","20","218","66","249","142","242","135","246","162","48","188","72","253","106","175","134","133","84","102","27","15","40","13","202","176","5","134","152","0.0","0.0","0.0","0.0"
"4","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","51","148","162","221","97","195","240","177","210","117","136","117","177","116","102","125","241","0","72","189","19","39","54","20","218","66","154","142","242","135","246","162","48","188","72","253","106","175","134","133","84","102","27","15","40","13","202","176","5","134","69","0.0","0.0","0.0","0.0"
"5","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","51","148","162","221","97","195","240","177","210","117","136","117","177","116","102","125","241","0","72","189","19","39","54","20","218","66","154","142","242","135","246","162","48","188","72","160","106","175","134","133","109","102","27","15","40","13","202","176","5","134","152","80.75","0.0","242.25","0.0"
"6","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","8","148","162","221","97","195","240","177","210","117","136","117","177","116","102","125","241","0","72","189","19","39","54","20","218","66","154","142","242","135","246","162","48","188","72","160","106","175","134","133","84","102","27","15","40","13","202","176","5","134","243","0.0","0.0","0.0","0.0"
"7","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","51","148","162","221","97","195","240","177","210","117","136","117","177","116","102","125","241","0","72","189","19","39","54","20","218","66","154","142","242","135","246","162","48","188","72","160","106","175","134","133","84","102","27","15","40","13","202","201","5","134","152","0.0","0.0","0.0","0.0"
"8","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","51","148","162","221","97","195","240","177","210","117","136","117","177","116","102","125","241","0","72","189","19","39","54","20","218","66","154","142","242","135","246","162","48","188","72","160","106","175","134","133","84","102","27","15","40","13","202","176","5","134","152","0.0","0.0","0.0","0.0"
"9","2","121","63","106","50","200","54","47","218","195","228","115","43","76","65","128","44","224","51","148","162","221","129","195","240","177","210","117","136","117","177","116","102","125","241","0","72","189","19","39","54","20","218","66","154","142","242","135","246","162","48","188","72","160","106","175","134","133","84","102","27","15","40","13","202","176","5","134","152","74.91666666666667","0.0","224.75","0.0"
